Load, Deviation
0, 0
1, 0.002
2, 0.384
3, 0.888
4, 0.996
5, 1.042
6, 1.178
7, 1.372
8, 1.598
9, 1.828
10, 2.106
11, 2.336
12, 2.564
13, 2.726
14, 2.88
15, 3.012
16, 3.176
17, 3.21
18, 3.308
19, 3.422
20, 3.522
21, 3.556
22, 3.488
23, 3.586
24, 3.602
25, 3.49
26, 3.43
27, 3.362
28, 3.276
29, 3.196
30, 2.986
31, 2.922
32, 2.794
33, 2.582
34, 2.41
35, 2.192
36, 2.058
37, 1.87
38, 1.702
39, 1.566
40, 1.364
39, 1.542
38, 1.694
37, 1.864
36, 2.03
35, 2.192
34, 2.388
33, 2.562
32, 2.734
31, 2.908
30, 3.082
29, 3.16
28, 3.3
27, 3.362
26, 3.428
25, 3.486
24, 3.484
23, 3.592
22, 3.546
21, 3.558
20, 3.468
19, 3.394
18, 3.394
17, 3.232
16, 3.138
15, 3.07
14, 2.836
13, 2.712
12, 2.564
11, 2.362
10, 2.118
9, 1.912
8, 1.65
7, 1.39
6, 1.154
5, 1.052
4, 1.006
3, 0.91
2, 0.366
1, 0.012
0, 0
